tool_type,diameter_mm,flutes,operation,material,status,entry_class,registry_tools,entry_style_default,ramp_angle_deg,helix_radius_mm,helix_pitch_mm,plunge_mm_min_csv,feed_mm_min_csv,rpm_csv,plunge_rule,ramp_feed_today_derived,dressup_entry_feed_derived,ramp_feed_approved_derived,ramp_feed_approved_basis,suggest_rewrote_style
EndMill,6.0000,2,Inlay,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Zigzag,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,1000.0000,3999.0000,9842.0000,material base,1500,500,3999,G6 axial chip 0.0635 mm,
EndMill,6.0000,2,Zigzag,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,702.0000,3999.0000,15748.0000,material base,1054,351,3999,G6 axial chip 0.0635 mm,
EndMill,6.0000,2,Zigzag,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,706.0000,3999.0000,13123.0000,material base,1059,353,3999,G6 axial chip 0.0762 mm,
EndMill,6.0000,2,Zigzag,plywood_hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,682.0000,3999.0000,15748.0000,material base,1023,341,3999,G6 axial chip 0.0635 mm,
EndMill,6.0000,2,Trace,softwood,ok,E5 no entry (forced none),any,none,,,,1000.0000,1519.0000,10610.0000,material base,1000,,,,
EndMill,6.0000,2,Trace,hardwood,ok,E5 no entry (forced none),any,none,,,,702.0000,973.0000,10610.0000,material base,703,,,,
EndMill,6.0000,2,Trace,mdf,ok,E5 no entry (forced none),any,none,,,,706.0000,951.0000,9019.0000,material base,706,,,,
EndMill,6.0000,2,Trace,plywood_hardwood,ok,E5 no entry (forced none),any,none,,,,682.0000,964.0000,9549.0000,material base,682,,,,
EndMill,6.0000,2,Drill,softwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),1000,,,,
EndMill,6.0000,2,Drill,hardwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),889,,,,
EndMill,6.0000,2,Drill,mdf,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,2133.0000,2133.0000,14000.0000,drill feed (G6 claim),1059,,,,
EndMill,6.0000,2,Drill,plywood_hardwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),889,,,,
EndMill,6.0000,2,Chamfer,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Chamfer,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Chamfer,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Chamfer,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,DropCutter,softwood,ok,E6 no entry (strip all),any,none,,,,1000.0000,3999.0000,9842.0000,material base,1500,,,,
EndMill,6.0000,2,DropCutter,hardwood,ok,E6 no entry (strip all),any,none,,,,702.0000,3999.0000,15748.0000,material base,1054,,,,
EndMill,6.0000,2,DropCutter,mdf,ok,E6 no entry (strip all),any,none,,,,706.0000,3999.0000,13123.0000,material base,1059,,,,
EndMill,6.0000,2,DropCutter,plywood_hardwood,ok,E6 no entry (strip all),any,none,,,,682.0000,3999.0000,15748.0000,material base,1023,,,,
EndMill,6.0000,2,Adaptive3d,softwood,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,1000.0000,4000.0000,11248.0000,material base,1500,,4000,G6 axial chip 0.0635 mm,yes
EndMill,6.0000,2,Adaptive3d,hardwood,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,702.0000,4000.0000,17997.0000,material base,1054,,4000,G6 axial chip 0.0635 mm,yes
