tool_type,diameter_mm,operation,material,status,lut_observation_id,group,detail
TaperedBallNose,3.1750,Pencil,mdf,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,Pencil,plywood_hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,3.1750,SteepShallow,softwood,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,SteepShallow,hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,SteepShallow,mdf,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,SteepShallow,plywood_hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,3.1750,RampFinish,plywood_hardwood,ok,onsrud-plywood-hardwood-77-100-1_8-parallel,G2h,extrapolated d_ratio=1.00 h_ratio=0.83 row_mat=plywood_hardwood
TaperedBallNose,3.1750,AlignmentPinDrill,softwood,refused,,G6,drill
TaperedBallNose,3.1750,AlignmentPinDrill,hardwood,refused,,G6,drill
TaperedBallNose,3.1750,AlignmentPinDrill,mdf,refused,,G6,drill
TaperedBallNose,3.1750,AlignmentPinDrill,plywood_hardwood,refused,,G6,drill
TaperedBallNose,6.0000,Profile,hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Profile,mdf,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Profile,plywood_hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Trace,hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Trace,mdf,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Trace,plywood_hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Drill,softwood,refused,,G6,drill
TaperedBallNose,6.0000,Drill,hardwood,refused,,G6,drill
TaperedBallNose,6.0000,Drill,mdf,refused,,G6,drill
TaperedBallNose,6.0000,Drill,plywood_hardwood,refused,,G6,drill
TaperedBallNose,6.0000,Waterline,softwood,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,Waterline,hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,Waterline,mdf,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,Waterline,plywood_hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,Pencil,hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Pencil,mdf,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,Pencil,plywood_hardwood,refused,,G3,"family (taper contour/trace, no row in that family)"
TaperedBallNose,6.0000,SteepShallow,softwood,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,SteepShallow,hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,SteepShallow,mdf,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,SteepShallow,plywood_hardwood,refused,,G3,family (taper contour finish)
TaperedBallNose,6.0000,AlignmentPinDrill,softwood,refused,,G6,drill
TaperedBallNose,6.0000,AlignmentPinDrill,hardwood,refused,,G6,drill
TaperedBallNose,6.0000,AlignmentPinDrill,mdf,refused,,G6,drill
TaperedBallNose,6.0000,AlignmentPinDrill,plywood_hardwood,refused,,G6,drill
