# t_epoch,vmrss_kb,vmsize_kb,vmswap_kb,mem_available_kb,threads
1786142583.422,2931032,8551780,0,22113372,71
1786142583.922,2931032,8551780,0,22116084,71
1786142584.423,2931032,8551780,0,22126144,71
1786142584.923,2931032,8551780,0,22109448,71
1786142585.423,2931032,8551780,0,22098780,71
1786142585.924,2931032,8551780,0,22097652,71
1786142586.424,2931032,8551780,0,22099248,71
1786142586.925,2931032,8551780,0,22098324,71
1786142587.425,2931032,8551780,0,22100032,71
1786142587.926,2931032,8551780,0,22102228,71
1786142588.426,2931032,8551780,0,22104328,71
1786142588.927,2931032,8551780,0,22108460,71
1786142589.427,2931032,8551780,0,22108208,71
1786142589.927,2931032,8551780,0,22102684,71
1786142590.428,2931032,8551780,0,22079332,71
1786142590.928,2931032,8551780,0,22080636,71
1786142591.428,2931032,8551780,0,22080276,71
1786142591.929,2931032,8551780,0,22069520,71
1786142592.429,2931032,8551780,0,22063832,71
1786142592.930,2931032,8551780,0,22066192,71
1786142593.430,2931032,8551780,0,22068944,71
1786142593.931,2931032,8551780,0,22074400,71
1786142594.432,2931032,8551780,0,22074400,71
1786142594.932,2931032,8551780,0,22070908,71
1786142595.433,2931032,8551780,0,22053868,71
1786142595.933,2931032,8551780,0,22062880,71
1786142596.433,2931032,8551780,0,22057592,71
1786142596.934,2931032,8551780,0,22076580,71
1786142597.434,2931032,8551780,0,22060384,71
1786142597.935,2931032,8551780,0,22067188,71
1786142598.435,2931032,8551780,0,22067188,71
1786142598.936,2931032,8551780,0,22085948,71
1786142599.436,2931032,8551780,0,22065428,71
1786142599.937,2931032,8551780,0,22066292,71
1786142600.437,2931032,8551780,0,22067908,71
1786142600.938,2931032,8551780,0,22096020,71
1786142601.438,2931032,8551780,0,22096776,71
1786142601.939,2931032,8551780,0,22103548,71
1786142602.439,2931032,8551780,0,22103176,71
1786142602.940,2931032,8551780,0,22105088,71
1786142603.440,2931032,8551780,0,22115044,71
1786142603.941,2931032,8551780,0,22118188,71
1786142604.441,2931032,8551780,0,22118192,71
1786142604.942,2931032,8551780,0,22120256,71
1786142605.442,2931032,8551780,0,22094428,71
1786142605.943,2931032,8551780,0,22097316,71
1786142606.443,2931032,8551780,0,22108112,71
1786142606.944,2931032,8551780,0,22111580,71
1786142607.444,2931032,8551780,0,22111328,71
1786142607.945,2931032,8551780,0,22112832,71
1786142608.445,2931032,8551780,0,22112992,71
1786142608.946,2931032,8551780,0,22117968,71
1786142609.447,2931032,8551780,0,22116204,71
1786142609.947,2931032,8551780,0,22087584,71
1786142610.447,2931032,8551780,0,22083776,71
1786142610.948,2931032,8551780,0,22087876,71
1786142611.448,2931032,8551780,0,22087876,71
1786142611.949,2931032,8551780,0,22091452,71
1786142612.450,2931032,8551780,0,22096308,71
1786142612.950,2931032,8551780,0,22101144,71
1786142613.451,2931032,8551780,0,22104272,71
1786142613.952,2931032,8551780,0,22111396,71
1786142614.452,2931032,8551780,0,22113332,71
1786142614.953,2931032,8551780,0,22103324,71
1786142615.453,2931032,8551780,0,22076008,71
1786142615.954,2931032,8551780,0,22082544,71
1786142616.454,2931032,8551780,0,22087968,71
1786142616.955,2931032,8551780,0,22093340,71
1786142617.455,2931032,8551780,0,22093088,71
1786142617.955,2931032,8551780,0,22107232,71
1786142618.456,2931032,8551780,0,22111984,71
1786142618.956,2931032,8551780,0,22118144,71
1786142619.456,2931032,8551780,0,22117624,71
1786142619.957,2931032,8551780,0,22098276,71
1786142620.457,2931032,8551780,0,22083656,71
1786142620.957,2931032,8551780,0,22086104,71
1786142621.457,2931032,8551780,0,22091936,71
1786142621.958,2931032,8551780,0,22091052,71
1786142622.458,2931032,8551780,0,22080784,71
1786142622.959,2931032,8551780,0,22081780,71
1786142623.459,2931032,8551780,0,22078372,71
1786142623.960,2931032,8551780,0,22100028,71
1786142624.460,2931032,8551780,0,22100564,71
1786142624.961,2931032,8551780,0,22086436,71
1786142625.461,2931032,8551780,0,22081104,71
1786142625.961,2931032,8551780,0,22078580,71
